Sex,Age,Year,Month,Day,Street Number,Birthday,Name,Surname,City,Street,State,State Voted
Female,76,1944,9,20,74,1944-9-20,Isabella,Winters,Santa Clarita,First,California,Texas
Male,56,1964,11,16,91,1964-11-16,Jeremy,Mclaughlin,Tulsa,Cedar,Oklahoma,Oklahoma
Male,24,1996,3,10,29,1996-3-10,Andrew,Farmer,Laredo,Fourth,Texas,Texas
Female,38,1982,4,27,45,1982-4-27,Grace,Marsh,Durham,Maple,North Carolina,North Carolina
Male,57,1963,2,11,91,1963-2-11,Justin,Garrison,Naperville,Ninth,Illinois,Illinois
Male,61,1959,6,2,42,1959-6-2,Scott,Zamora,Jacksonville,Maple,Florida,Florida
Female,82,1938,12,7,65,1938-12-7,Janice,Knowles,Bridgeport,Oak,Connecticut,Connecticut
Male,63,1957,2,20,19,1957-2-20,Billy,Williams,Birmingham,Oak,Alabama,Alabama
Female,70,1950,9,20,18,1950-9-20,Susan,Sanchez,Eugene,Main,Oregon,Oregon
Male,88,1932,8,10,62,1932-8-10,Nathan,Riggs,Metairie,Fifth,Louisiana,Louisiana
Female,76,1944,2,9,94,1944-2-9,Abigail,Langley,Ontario,Fifth,California,California
Female,76,1944,7,8,3,1944-7-8,Martha,Carver,Jacksonville,Sixth,Florida,Florida
Female,38,1982,5,30,46,1982-5-30,Mary,Fitzgerald,El Paso,Maple,Texas,Texas
Female,25,1995,6,3,41,1995-6-3,Amanda,Burgess,Philadelphia,Maple,Pennsylvania,Pennsylvania
Female,58,1962,12,6,18,1962-12-6,Jacqueline,Mullen,Sunrise Manor,Main,Nevada,Nevada
Male,41,1979,5,8,85,1979-5-8,Ralph,Bennett,Indianapolis,Cedar,Indiana,Indiana
Female,64,1956,6,21,52,1956-6-21,Natalie,Mathis,Sioux Falls,Second,South Dakota,South Dakota
Male,26,1994,6,10,75,1994-6-10,Nathan,Langley,Anaheim,Pine,California,California
Male,37,1983,9,14,12,1983-9-14,Carl,Lopez,Columbus,Eighth,Ohio,Ohio
Male,40,1980,12,10,7,1980-12-10,Douglas,Ratliff,Honolulu,Sixth,Hawaii,Hawaii
Female,80,1940,5,6,48,1940-5-6,Kathryn,Ballard,Scottsdale,Seventh,Arizona,Arizona
Female,70,1950,4,8,97,1950-4-8,Amanda,Page,Chandler,Washington,Arizona,Arizona
Female,84,1936,4,2,79,1936-4-2,Rose,Lancaster,Oakland,Elm,California,California
Male,63,1957,9,26,10,1957-9-26,Zachary,Kirk,Metairie,Ninth,Louisiana,Louisiana
Female,33,1987,3,24,69,1987-3-24,Margaret,Mcfadden,Mobile,Ninth,Alabama,Alabama
Male,21,1999,2,27,4,1999-2-27,Timothy,Daniels,Charlotte,Ninth,North Carolina,North Carolina
Female,82,1938,4,7,80,1938-4-7,Sophia,Holmes,Akron,Pine,Ohio,Ohio
Female,18,2002,6,10,26,2002-6-10,Diana,Calderon,Winston-Salem,Fourth,North Carolina,North Carolina
Male,57,1963,4,30,80,1963-4-30,Jordan,Cantrell,Fremont,Third,California,California
Male,49,1971,4,22,91,1971-4-22,Richard,Stafford,Tampa,Second,Florida,Florida
Male,77,1943,5,8,48,1943-5-8,Adam,Anthony,Louisville,First,Kentucky,Kentucky
Male,54,1966,12,7,92,1966-12-7,Terry,Pennington,Lubbock,Hill,Texas,Texas
Male,23,1997,6,10,84,1997-6-10,Jose,Kaufman,Salem,Fourth,Oregon,Oregon
Male,27,1993,3,8,25,1993-3-8,Bruce,Simon,Grand Rapids,Fourth,Michigan,Michigan
Female,44,1976,7,11,85,1976-7-11,Janice,Dickson,Ontario,Ninth,California,California
Female,65,1955,5,25,62,1955-5-25,Madison,Cummings,Anaheim,Seventh,California,South Carolina
Male,81,1939,10,12,51,1939-10-12,Charles,Crosby,Roseville,Hill,California,California
Female,34,1986,7,15,9,1986-7-15,Catherine,Mcclure,Grand Prairie,First,Texas,Texas
Female,86,1934,2,15,62,1934-2-15,Andrea,Garner,Stockton,Oak,California,California
Female,55,1965,4,8,2,1965-4-8,Sarah,Cox,Roseville,Main,California,California
Male,24,1996,7,29,46,1996-7-29,Paul,Hernandez,Elk Grove,Third,California,California
Male,25,1995,11,19,83,1995-11-19,Mark,Carney,Birmingham,Oak,Alabama,Alabama
Female,82,1938,7,26,69,1938-7-26,Kelly,Merrill,Los Angeles,Pine,California,California
Male,49,1971,4,30,84,1971-4-30,Timothy,Byers,Murfreesboro,Seventh,Tennessee,Tennessee
